created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Jan 17 23:34:43 +0000 2024;1747764416009941060;#Atención l Durante la tarde de este 17 de enero Daniel Salcedo llego custodiado al aeropuerto de #Panamá para su traslado al #Ecuador.  Noticia en desarrollo. #DecanoDeLaPrensaManabita #EcuadorBajoAtaque https://t.co/LwrlRbwKlh;0;0;3;3;es;293192553;1747764416009941060;elmercuriomanta;https://twitter.com/elmercuriomanta/status/1747764416009941060
Wed Jan 17 23:33:55 +0000 2024;1747764215086022986;#EcuadorUnidoContraLosNarcos;0;1;2;6;qht;279133679;1747764215086022986;fmaritza;https://twitter.com/fmaritza/status/1747764215086022986
Wed Jan 17 23:33:22 +0000 2024;1747764075571114393;Vehículo que se usó para sicariato en Guayaquil, fue quemado en la alborada. #EcuadorBajoAtaqueTerrorista (juez TC televisión) https://t.co/BsgG2p8CJ4;0;0;0;0;es;1729271348;1747764075571114393;anonymous2024es;https://twitter.com/anonymous2024es/status/1747764075571114393
Wed Jan 17 23:31:40 +0000 2024;1747763647571443956;#DianaSalazar una mujer inquebrantable!! Hoy asesinan vilmente al fiscal Suarez, antes denunció ante el mundo que querían asesinarla  La @AsambleaEcuador debe dejar de acosarla y respaldar su gestión y la de sus fiscales! #EcuadorBajoAtaqueTerrorista #EcuadorUnidoContraLosNarcos;0;0;14;20;es;279133679;1747763647571443956;fmaritza;https://twitter.com/fmaritza/status/1747763647571443956
Wed Jan 17 23:29:12 +0000 2024;1747763028244791727;Juramentan a nueva presidenta del TSJ: magistrada Caryslia Rodríguez   #17Enero #AvanzamosParaVencer #Sismo  #EcuadorEnGuerra  #Davos2024 https://t.co/gCBHsb1vmD;0;0;0;0;es;507613297;1747763028244791727;CiudadVLC;https://twitter.com/CiudadVLC/status/1747763028244791727
Wed Jan 17 23:28:17 +0000 2024;1747762797927149694;Canciller Gil participa en XIX Cumbre de Jefes de Estados y de Gobierno de Mnoal   #17Enero #AvanzamosParaVencer #Sismo  #EcuadorEnGuerra  #Davos2024 https://t.co/9hY5TBTp75;0;0;0;0;es;507613297;1747762797927149694;CiudadVLC;https://twitter.com/CiudadVLC/status/1747762797927149694
Wed Jan 17 23:27:56 +0000 2024;1747762709339218153;🔴 #Urgente | El fiscal #CésarSuárez, quien llevaba los casos de corrupción de #DanielSalcedo, #ISSPOL y la toma del canal #TC Televisión, fue asesinado en la av. del Bombero al norte de #Guayaquil.   #EcuadorBajoAtaque https://t.co/7o8acr9U4b;0;0;2;3;es;1736882635316547584;1747762709339218153;notimercio;https://twitter.com/notimercio/status/1747762709339218153
Wed Jan 17 23:26:51 +0000 2024;1747762436462002678;Venezuela y Qatar ampliarán cooperación con proyectos productivos   #17Enero #AvanzamosParaVencer #Sismo  #EcuadorEnGuerra  #Davos2024 https://t.co/S2PWfIhvGK;0;0;0;1;es;507613297;1747762436462002678;CiudadVLC;https://twitter.com/CiudadVLC/status/1747762436462002678
Wed Jan 17 23:26:13 +0000 2024;1747762275635572981;Por cada muerte de 1 buen ciudadano que sean 100 muertos de los terroristas y delincuentes, es la única forma que esto saldrá bien #EcuadorEnGuerra #EcuadorUnidoContraLosNarcos @DanielNoboaOk @Presidencia_Ec;0;0;0;0;es;1593335853568368640;1747762275635572981;IvannaRose690;https://twitter.com/IvannaRose690/status/1747762275635572981
Wed Jan 17 23:24:41 +0000 2024;1747761890950779239;#EcuadorExigeSeguridad  ¿La presentará @teleamazonasec o @ecuavisa en el horario de máxima audiencia? 🤔 Digo... como ha sido costumbre en los últimos años... 👇😐  https://t.co/XV5FdemfOF;0;0;0;0;es;911061696382427136;1747761890950779239;Dani_Matute104;https://twitter.com/Dani_Matute104/status/1747761890950779239
Wed Jan 17 23:23:57 +0000 2024;1747761707357769903;#Ecuador Hoy miércoles fue asesinado a tiros César  Suárez, fiscal que investigaba asalto banda narco en instalaciones de TC Televisión el 9 de enero. El hecho motivó declaratoria de conflicto armado interno por parte del pdte. Daniel Noboa #reporte #EcuadorBajoAtaqueTerrorista https://t.co/bfOIdE9nGd;0;0;0;0;es;1018917903478001664;1747761707357769903;ElNacionalNet;https://twitter.com/ElNacionalNet/status/1747761707357769903
Wed Jan 17 23:22:57 +0000 2024;1747761456689361176;Y así nos ven, con lástima #CasoMetastasis #EcuadorBajoAtaqueTerrorista;0;0;1;1;es;1262015915371175936;1747761456689361176;BrendaCV70;https://twitter.com/BrendaCV70/status/1747761456689361176
Wed Jan 17 23:21:43 +0000 2024;1747761144821944513;#EcuadorNiUnPasoAtras #EcuadorUnidoContraLosNarcos #NoNosVenceran #NarcoCorreismo #GraciasPoliciaFFAA;0;0;0;0;qht;976118214;1747761144821944513;DianiTheWarrior;https://twitter.com/DianiTheWarrior/status/1747761144821944513
Wed Jan 17 23:20:29 +0000 2024;1747760836460855568;Aniversario de #NismanPresente y #EcuadorUnidoContraLosNarcos sufre como nosotros con la sin tobillos.;0;0;0;0;es;1064100643;1747760836460855568;Carli_hamilton1;https://twitter.com/Carli_hamilton1/status/1747760836460855568
Wed Jan 17 23:19:30 +0000 2024;1747760586199322929;"#ALERTA #EcuadorUnidoContraLosNarcos #Ecuador #EcuadorenCrisis Asesinado en Ecuador un importante fiscal que investigaba la delincuencia organizada y la toma del canal de televisión Se ocupaba también de los casos de corrupción más importantes del país"" https://t.co/yrfYl4YeHq""";0;1;0;1;es;433909559;1747760586199322929;HRafhumcar;https://twitter.com/HRafhumcar/status/1747760586199322929
Wed Jan 17 23:18:56 +0000 2024;1747760442796028048;#EcuadorNiUnPasoAtras #EcuadorUnidoContraLosNarcos #NoNosVenceran #NarcoCorreismo #GraciasPoliciaFFAA;1;0;2;1;qht;976118214;1747760442796028048;DianiTheWarrior;https://twitter.com/DianiTheWarrior/status/1747760442796028048
Wed Jan 17 23:18:47 +0000 2024;1747760406947418577;y en #Ecuador se desató una #guerracivil contra GDO's con tentáculos desde #Alaska a la #Patagonia,  el estado que no quiere ser parte del narco, contra los narcotraficantes socialistas... #TerceraGuerraMundial #EcuadorEnGuerra;0;0;0;1;es;770310557576691716;1747760406947418577;igm5_igm;https://twitter.com/igm5_igm/status/1747760406947418577
Wed Jan 17 23:18:17 +0000 2024;1747760280795328967;@LuisaGonzalezEc @PattyMendozaJ @AsambleaEcuador Usted es una terrible perdedora. Simplemente no convencen. #CorreaCreadorDelNarcoEstado #EcuadorUnidoContraLosNarcos;0;0;0;0;es;1294650280215293954;1747748165162344904;Aegeon1997;https://twitter.com/Aegeon1997/status/1747760280795328967
Wed Jan 17 23:17:37 +0000 2024;1747760113941655815;#EcuadorExigeSeguridad  Esto... es-to... ¡¡¡ESTO!!!... 👇😒;0;0;1;2;es;911061696382427136;1747760113941655815;Dani_Matute104;https://twitter.com/Dani_Matute104/status/1747760113941655815
Wed Jan 17 23:14:58 +0000 2024;1747759447009857814;Ecuador desde mis fotos... somos fascinantes!!  #Ecuador #EcuadorBajoAtaqueTerrorista https://t.co/zSAIuLG7bs;0;1;1;3;es;193365759;1747759447009857814;ecabanilla;https://twitter.com/ecabanilla/status/1747759447009857814
Wed Jan 17 23:13:58 +0000 2024;1747759195208798549;#EcuadorNiUnPasoAtras #EcuadorUnidoContraLosNarcos #NoNosVenceran #NarcoCorreismo #GraciasPoliciaFFAA;0;0;0;0;qht;976118214;1747759195208798549;DianiTheWarrior;https://twitter.com/DianiTheWarrior/status/1747759195208798549
Wed Jan 17 23:11:58 +0000 2024;1747758689576964530;#EcuadorNiUnPasoAtras #EcuadorUnidoContraLosNarcos #NoNosVenceran #NarcoCorreismo #GraciasPoliciaFFAA;1;0;2;2;qht;976118214;1747758689576964530;DianiTheWarrior;https://twitter.com/DianiTheWarrior/status/1747758689576964530
Wed Jan 17 23:11:00 +0000 2024;1747758446538100823;Mira tu esas mañas! #EcuadorEnGuerra;0;0;0;1;es;792148116220805120;1747758446538100823;TravisBDriver;https://twitter.com/TravisBDriver/status/1747758446538100823
Wed Jan 17 23:09:24 +0000 2024;1747758046879576241;@semarco Sí la guerra contra los terroristas fuese verdad #EcuadorUnidoContraLosNarcos #EcuadorEnGuerra el #PresidenteDeCarton #HuevosDeCarton debería hacer capturar al principal narcotraficante Rafael Vicente alias mashi o gataflora #HijoDeMula;0;0;0;0;es;1484657113867689990;1747618696338522508;andoruteando;https://twitter.com/andoruteando/status/1747758046879576241
Wed Jan 17 23:08:19 +0000 2024;1747757773536788790;#Actualización | Un vehículo fue incendiado en la Alborada en #Guayaquil, se presume que habría sido utilizado en el sicariato del Fiscal César Suárez. #DecanoDeLaPrensaManabita #EcuadorBajoAtaque https://t.co/ViPBUkVofw;0;0;2;3;es;293192553;1747757773536788790;elmercuriomanta;https://twitter.com/elmercuriomanta/status/1747757773536788790
Wed Jan 17 23:08:12 +0000 2024;1747757745665679556;@GYEplomoydolor Sí la guerra contra los terroristas fuese verdad #EcuadorUnidoContraLosNarcos #EcuadorEnGuerra el #PresidenteDeCarton #HuevosDeCarton debería hacer capturar al principal narcotraficante Rafael Vicente alias mashi o gataflora #HijoDeMula;0;0;0;2;es;1484657113867689990;1747417809276076439;andoruteando;https://twitter.com/andoruteando/status/1747757745665679556
Wed Jan 17 23:07:56 +0000 2024;1747757678393200924;@JdNoticias1 @ARTLOPVAR @rvillanew @KtaLaGrande @DanielNoboaOk Sí la guerra contra los terroristas fuese verdad #EcuadorUnidoContraLosNarcos #EcuadorEnGuerra el #PresidenteDeCarton #HuevosDeCarton debería hacer capturar al principal narcotraficante Rafael Vicente alias mashi o gataflora #HijoDeMula;0;0;0;1;es;1484657113867689990;1747450073368215940;andoruteando;https://twitter.com/andoruteando/status/1747757678393200924
Wed Jan 17 23:07:11 +0000 2024;1747757488361857092;@taitapanda_Ofc Sí la guerra contra los terroristas fuese verdad #EcuadorUnidoContraLosNarcos #EcuadorEnGuerra el #PresidenteDeCarton #HuevosDeCarton debería hacer capturar al principal narcotraficante Rafael Vicente alias mashi o gataflora #HijoDeMula;0;0;1;1;es;1484657113867689990;1747731123633819777;andoruteando;https://twitter.com/andoruteando/status/1747757488361857092
Wed Jan 17 23:04:54 +0000 2024;1747756911171158193;#EcuadorNiUnPasoAtras #EcuadorUnidoContraLosNarcos #NoNosVenceran #NarcoCorreismo #GraciasPoliciaFFAA;0;0;0;1;qht;976118214;1747756911171158193;DianiTheWarrior;https://twitter.com/DianiTheWarrior/status/1747756911171158193
Wed Jan 17 23:03:35 +0000 2024;1747756580991385787;#EcuadorNiUnPasoAtras #EcuadorUnidoContraLosNarcos #NoNosVenceran #NarcoCorreismo #GraciasPoliciaFFAA;0;0;0;0;qht;976118214;1747756580991385787;DianiTheWarrior;https://twitter.com/DianiTheWarrior/status/1747756580991385787
Wed Jan 17 23:02:44 +0000 2024;1747756369430605887;#EcuadorNiUnPasoAtras #EcuadorUnidoContraLosNarcos #NoNosVenceran #NarcoCorreismo #GraciasPoliciaFFAA;0;0;0;1;qht;976118214;1747756369430605887;DianiTheWarrior;https://twitter.com/DianiTheWarrior/status/1747756369430605887
Wed Jan 17 23:01:19 +0000 2024;1747756012197630003;#sindetenidos #EcuadorBajoAtaqueTerrorista;0;0;0;1;qht;265053084;1747756012197630003;pocahonthass;https://twitter.com/pocahonthass/status/1747756012197630003
Wed Jan 17 22:57:56 +0000 2024;1747755159898542502;Mano dura contra los delincuentes #EcuadorUnidoContraLosNarcos;0;0;0;5;es;1683973918728527873;1747755159898542502;Julitogomez30;https://twitter.com/Julitogomez30/status/1747755159898542502
Wed Jan 17 22:56:15 +0000 2024;1747754737410126132;ATRASO ESTRUCTURAL POR DESACUERDOS EN LA ASAMBLEA | La Ministra de Gobierno, Mónica Palencia, hizo un llamado de atención e hizo énfasis en la magnitud del enemigo que es capaz de desestabilizar el país.  #EcuadorUnidoContraLosNarcos #Ecuador https://t.co/rYY15HtF3l;0;0;0;0;es;1636957911199907840;1747754737410126132;lakronika_ec;https://twitter.com/lakronika_ec/status/1747754737410126132
Wed Jan 17 22:55:02 +0000 2024;1747754428755546329;@SegundoLaVerdad #EcuadorBajoAtaqueTerrorista #EcuadorUnidoContraLosNarcos;0;0;0;0;qme;1575661091379503104;1747744771219616195;JoseOrl28740135;https://twitter.com/JoseOrl28740135/status/1747754428755546329
Wed Jan 17 22:54:35 +0000 2024;1747754318281703887;Esos mismos golpes y gritos de dolor sintieron los que fueron asesinados a sangre fría por esos parásitos a los que defienden. Quien alzó la voz por ellos? Nadie. Y NO METAS A DIOS EN TU DISCURSOS BARATOCARADURA #FuerzaEcuador #ecuador #Quito #Cuenca #EcuadorBajoAtaqueTerrorista;0;0;0;2;es;852644939204898816;1747754318281703887;La69ComoTekashi;https://twitter.com/La69ComoTekashi/status/1747754318281703887
Wed Jan 17 22:50:50 +0000 2024;1747753375037341849;Sí la guerra contra los terroristas fuese verdad #EcuadorUnidoContraLosNarcos #EcuadorEnGuerra el #PresidenteDeCarton #HuevosDeCarton debería hacer capturar al principal narcotraficante Rafael Vicente alias mashi o gataflora #HijoDeMula;0;0;0;2;es;1484657113867689990;1747753375037341849;andoruteando;https://twitter.com/andoruteando/status/1747753375037341849
Wed Jan 17 22:48:12 +0000 2024;1747752708696670214;🆘🆘#URGENTE amenaza de #Terroristas integrada por los #Tiguerones a unidades educativas en #Pascuales con colocación de bombas  @FFAAECUADOR @PoliciaEcuador @131Recompensas @DefensaEc #EcuadorBajoAtaqueTerrorista https://t.co/Pqzw9N4HOD;0;0;0;1;es;1646749763088334848;1747752708696670214;Info_estacionEc;https://twitter.com/Info_estacionEc/status/1747752708696670214
Wed Jan 17 22:47:20 +0000 2024;1747752494048932067;@Ritzalbo @EcuadorPlay @PaolaCabezasC @esthercuestasan Y no que estamos en #EcuadorUnidoContraLosNarcos #EcuadorEnGuerra pura pantalla del #PresidenteDeCarton #HuevosDeCarton al principal narcotraficante que debe capturar es a Rafael Vicente alias mashi o gataflora;0;0;0;1;es;1484657113867689990;1747717502899995125;andoruteando;https://twitter.com/andoruteando/status/1747752494048932067
Wed Jan 17 22:44:25 +0000 2024;1747751758732882166;https://t.co/jwVS0bwBCo #URGENTE Los #TERRORISTAS       deben ser Objetivo Militar. #EcuadorBajoAtaque #Ecuador;0;0;14;18;es;1690425413757984768;1747751758732882166;tuiterapost;https://twitter.com/tuiterapost/status/1747751758732882166
Wed Jan 17 22:44:25 +0000 2024;1747751757357203795;Que tristeza esta muerte  @PaolaCabezasC 🫵🏼 quiero que se pronuncie sobre este asesinato.  La conmueve igual que los MALANDROS q decidieron delinquir?  @CIDH @Ecuador_DDHH #DerechosHumanos #EcuadorUnidoContraLosNarcos 💪🏽;0;1;0;2;es;212125478;1747751757357203795;briana_melina;https://twitter.com/briana_melina/status/1747751757357203795
Wed Jan 17 22:43:42 +0000 2024;1747751576402272477;#EcuadorEnGuerra;0;0;0;1;qht;411744413;1747751576402272477;kamizvlog;https://twitter.com/kamizvlog/status/1747751576402272477
Wed Jan 17 22:43:25 +0000 2024;1747751504935620845;#URGENTE #ATENCIÓN #Esmeraldas  ZÚÑIGA GIRÓN ELBY ROLANDO, con cedula de ciudadanía Colombiana No. 1.004.609.605 de 24 años de edad, colombiano, domiciliado en la ciudad de Esmeraldas fue liberado por #JUECESCORRUPTOS #URGENTE #TERRORISTAS      #EcuadorBajoAtaque #EcuadorEnGuerra https://t.co/azKTdA0pm8;1;1;23;19;es;1690425413757984768;1747751504935620845;tuiterapost;https://twitter.com/tuiterapost/status/1747751504935620845
Wed Jan 17 22:42:37 +0000 2024;1747751307333517532;#Guayas  #BloqueDeSeguridad, en el cantón #Durán, realizando patrullaje móviles, donde se aprehendió a un sujeto y se decomisó:  -01 revólver -13 municiones.  #FFAAContigo🇪🇨 #EcuadorBajoAtaque https://t.co/D3wD1BHQnW;3;6;206;1292;es;949897206;1747751307333517532;FFAAECUADOR;https://twitter.com/FFAAECUADOR/status/1747751307333517532
Wed Jan 17 22:39:47 +0000 2024;1747750590392795529;@DanielNoboaOk @DianaSalazarM2 con respeto lo diré pero es momento de aplicar lo que se dijo en ese momento  #EcuadorBajoAtaqueTerrorista;0;0;0;0;es;3400785609;1747750590392795529;Cris_Nori92;https://twitter.com/Cris_Nori92/status/1747750590392795529
Wed Jan 17 22:39:28 +0000 2024;1747750514710741483;@DanielNoboaOk @DianaSalazarM2 con respeto lo diré pero es momento de aplicar lo que se dijo en ese momento  #EcuadorBajoAtaque;0;0;0;0;es;3400785609;1747750514710741483;Cris_Nori92;https://twitter.com/Cris_Nori92/status/1747750514710741483
Wed Jan 17 22:37:25 +0000 2024;1747749995950874840;Termómetro tuitero 🌡️ ¿Está de acuerdo con la necesidad de implementar medidas especiales para proteger a los fiscales y jueces que manejan casos sensibles?  Tendencias:  #EcuadorEnGuerra  #EcuadorUnidoContraLosNarcos  #EcuadorBajoAtaqueTerrorista;0;0;1;0;es;311206860;1747749995950874840;PJovenEc;https://twitter.com/PJovenEc/status/1747749995950874840
Wed Jan 17 22:36:26 +0000 2024;1747749750017794096;@AlmaMiaEcu Eso no pasará. La ministra de #Gobierno y del #Interior @Palencia3Monica era la abogada personal del presidente #DanielNoboa y del grupo económico.  Así estamos con el #EcuadorEnGuerra;0;0;0;0;es;1616881785853599745;1747725664160043231;MariaPazLinar;https://twitter.com/MariaPazLinar/status/1747749750017794096
Wed Jan 17 22:31:43 +0000 2024;1747748560538353961;‼️#URGENTE Frente al asesinato del fiscal César Suárez, Diana Salazar señala “este hecho atroz trae consigo un mensaje para el trabajo que estamos cumpliendo desde la justicia en el Ecuador”. Además, precisa “los grupos de delincuencia organizada. #EcuadorUnidoContraLosNarcos https://t.co/TPjDe3MvNw;0;1;5;24;es;1654890170108215297;1747748560538353961;AmiguitosTvloja;https://twitter.com/AmiguitosTvloja/status/1747748560538353961
Wed Jan 17 22:30:29 +0000 2024;1747748251544023048;Luego del asesinato del fiscal #CésarSuárez en #LosCeibos, la fiscal general del Estado, #DianaSalazar, pidió a las fuerzas del orden garantizar la seguridad de quienes cumplen con sus funciones.   #EcuadorUnidoContraLosNarcos #EcuadorBajoAtaqueTerrorista https://t.co/ceeMUHFwlK;0;0;2;4;es;531425904;1747748251544023048;elemprendedor_;https://twitter.com/elemprendedor_/status/1747748251544023048
Wed Jan 17 22:30:04 +0000 2024;1747748147852451851;🚨 CUIDADO SE LE CAE EL AVIÓN ✈️ Y NO ALCANZA A HABLA  #ATENCIÓN #danielsalcedo #chonekillers #latinkings #choneros #tigerones #rafaelcorrea #viraltiktok #fyp #danielnoboa #EcuadorEnGuerra #guayaquilcal https://t.co/WtMK0gBKCb;0;0;0;0;es;21091625;1747748147852451851;GuayaCaliente;https://twitter.com/GuayaCaliente/status/1747748147852451851
Wed Jan 17 22:27:34 +0000 2024;1747747517435916456;#URGENTE #ULTIMAHORA La fiscal general @DianaSalazarM2 rechaza los acos violentos que llevaron al asesinato del fiscal César Suárez y enfatiza que seguirán en la lucha contra terroristas y narcos #EcuadorUnidoContraLosNarcos #EcuadorEnGuerra #EcuadorBajoAtaqueTerrorista https://t.co/SAj2tG6KWT;1;0;0;2;es;776636702;1747747517435916456;RadioElite997;https://twitter.com/RadioElite997/status/1747747517435916456
Wed Jan 17 22:25:52 +0000 2024;1747747090065686689;Si no vives en cumbaya ni Samborondón debes cuidarte no sea que te vean el tatuaje y te atribuyan ser de mafia. Pero si eres aniñado y blanco rosado puedes estar repleto de armas hasta el culo que eres coleccionista.  Pero que chuuuuch🤌🏻 #EcuadorEnGuerra;0;0;0;0;es;411744413;1747747090065686689;kamizvlog;https://twitter.com/kamizvlog/status/1747747090065686689
Wed Jan 17 22:22:22 +0000 2024;1747746209966485955;#DanielSalcedo prófugo de la justicia del #Ecuador esta siendo enviado de regreso, Para cumplir con su sentencia por sus múltiples delitos. #EcuadorEnGuerra https://t.co/UWQAoBHb1N;0;0;0;0;es;1092298663114756101;1747746209966485955;notientendencia;https://twitter.com/notientendencia/status/1747746209966485955
Wed Jan 17 22:19:37 +0000 2024;1747745516060844244;Termómetro tuitero 🌡️ ¿Cree que la implementación de audiencias telemáticas, como propone la fiscal General, podría mejorar la seguridad de los funcionarios judiciales?  Tendencias:  #EcuadorEnGuerra  #EcuadorUnidoContraLosNarcos  #EcuadorBajoAtaqueTerrorista;0;0;1;0;es;311206860;1747745516060844244;PJovenEc;https://twitter.com/PJovenEc/status/1747745516060844244
Wed Jan 17 22:18:34 +0000 2024;1747745251433820343;#17gennaio #EcuadorEnGuerra L'#Ecuador è nella situazione, che se perde la #Guerra con i #narcos, diventa una pattumiera, se la vince, diventa un paradiso in terra.;0;0;0;0;it;1567050317644156928;1747745251433820343;pancio27;https://twitter.com/pancio27/status/1747745251433820343
Wed Jan 17 22:10:12 +0000 2024;1747743148187541867;@DanielNoboaOk @tctelevision La Fiscal General de Ecuador, Diana Salazar @DianaSalazarM2, anunciaba así el asesinato del fiscal César Suárez en #Guayas #EcuadorEnGuerra @FiscaliaEcuador #TERRORISMO #CrimenOrganizado https://t.co/xIDonPKIB9;0;0;0;0;es;196133382;1744486927124869414;marcotgn;https://twitter.com/marcotgn/status/1747743148187541867
Wed Jan 17 22:08:53 +0000 2024;1747742815130354129;miserable #DanielSalcedo tu vas llegando pero ya mandaste a callar al #fiscal hasta cuando estos malditos siguen ganado con miedo... #EcuadorBajoAtaqueTerrorista;0;1;0;2;es;3207628251;1747742815130354129;adrita1304;https://twitter.com/adrita1304/status/1747742815130354129
Wed Jan 17 22:08:39 +0000 2024;1747742757437706663;"Esa maldita costumbre"" de matar FISCALES... #EcuadorUnidoContraLosNarcos""";0;0;1;2;es;2505374887;1747742757437706663;JustineMilko;https://twitter.com/JustineMilko/status/1747742757437706663
Wed Jan 17 22:08:18 +0000 2024;1747742670787641753;Mucha gente aún necesita justicia!!  #EcuadorUnidoContraLosNarcos  #EcuadorEnGuerra  #EcuadorBajoAtaqueTerrorista  #Ecuador;0;0;0;1;es;931210736927469568;1747742670787641753;ElCuervoAndino;https://twitter.com/ElCuervoAndino/status/1747742670787641753
Wed Jan 17 22:07:33 +0000 2024;1747742480949514372;"Aviso a la people de acá en X 🇪🇨 que por una simple encuesta, la banca"" ha iniciado un ataque a esta cuenta. Les seguiremos informando.✌🏻 #EcuadorUnidoContraLosNarcos  #EcuadorBajoAtaqueTerrorista  #EcuadorPrimero""";0;1;1;1;es;729485870;1747742480949514372;vladlunz;https://twitter.com/vladlunz/status/1747742480949514372
Wed Jan 17 22:05:18 +0000 2024;1747741914114162711;“Guayaquil .- La tarde de este miércoles fue acribillado en Guayaquil, Ecuador, el fiscal César Suárez, quien investigaba la reciente toma de un canal de…“— https://t.co/lEQ0n3bXL5   #CesarSuarez #FiscaliaEc #DianaSalazar #CasoMetastasis #Metastasis #EcuadorEnGuerra;0;0;1;0;es;180897305;1747741914114162711;WuanPlus;https://twitter.com/WuanPlus/status/1747741914114162711
Wed Jan 17 22:04:43 +0000 2024;1747741768932642965;#EcuadorEnGuerra;0;0;1;1;qht;54338207;1747741768932642965;ljcisneros;https://twitter.com/ljcisneros/status/1747741768932642965
Wed Jan 17 22:03:50 +0000 2024;1747741546399596803;Asesinato en Ecuador El fiscal Suárez fue acribillado en Guayaquil. Fue asesinado por sicarios.  #Asesinato #EcuadorUnidoContraLosNarcos #Ecuador #fiscal #Guayaquil #Violencia #Narcoterrorismo    https://t.co/qv5WGz6V3i;0;0;3;0;es;1614745988203249673;1747741546399596803;idcorrientes;https://twitter.com/idcorrientes/status/1747741546399596803
Wed Jan 17 22:03:48 +0000 2024;1747741536266154355;@Silarguello1 @semarco A confesión de parte, relevo de prueba, este es un completo anormal #correanuncamas  #EcuadorBajoAtaqueTerrorista;0;0;0;0;es;609903152;1747618696338522508;alfredcarrera63;https://twitter.com/alfredcarrera63/status/1747741536266154355
